"","Df","SumOfSqs","F","Pr(>F)"
"temperature37",1,1.3869214981037,18.9029263585202,0.001
"ph4",1,0.0410062565141147,0.558891219282939,0.762
"ph3",1,0.330510383835167,4.50466263224313,0.002
"food6",1,0.335265928566312,4.56947791700898,0.003
"day",1,2.90191873111492,39.5514498460634,0.001
"temperature37:ph4",1,0.192457152784523,2.62307808425383,0.027
"temperature37:ph3",1,0.289121095960409,3.94055092022636,0.003
"temperature37:food6",1,0.210509790381612,2.86912494382115,0.014
"ph4:food6",1,0.0279162815516827,0.380482539997168,0.898
"ph3:food6",1,0.0250566495651654,0.341507433671746,0.923
"temperature37:ph4:food6",1,0.0278059903601431,0.37897933576065,0.905
"temperature37:ph3:food6",1,0.0205850824869138,0.280562597714597,0.958
"Residual",130,9.53819484527665,NA,NA
