,exp2_1_DAY1_tube,exp2_1_DAY15_tube,exp2_1_DAY57_tube,exp2_10_DAY1_tube,exp2_10_DAY15_tube,exp2_10_DAY57_tube,exp2_11_DAY1_tube,exp2_11_DAY15_tube,exp2_11_DAY57_tube,exp2_12_DAY1_tube,exp2_12_DAY15_tube,exp2_12_DAY57_tube,exp2_13_DAY1_tube,exp2_13_DAY15_tube,exp2_13_DAY57_tube,exp2_14_DAY1_tube,exp2_14_DAY15_tube,exp2_14_DAY57_tube,exp2_15_DAY1_tube,exp2_15_DAY15_tube,exp2_15_DAY57_tube,exp2_16_DAY1_tube,exp2_16_DAY15_tube,exp2_16_DAY57_tube,exp2_17_DAY1_tube,exp2_17_DAY15_tube,exp2_17_DAY57_tube,exp2_18_DAY1_tube,exp2_18_DAY15_tube,exp2_18_DAY57_tube,exp2_19_DAY1_tube,exp2_19_DAY15_tube,exp2_19_DAY57_tube,exp2_2_DAY1_tube,exp2_2_DAY15_tube,exp2_2_DAY57_tube,exp2_20_DAY1_tube,exp2_20_DAY15_tube,exp2_20_DAY57_tube,exp2_21_DAY1_tube,exp2_21_DAY15_tube,exp2_21_DAY57_tube,exp2_22_DAY1_tube,exp2_22_DAY15_tube,exp2_22_DAY57_tube,exp2_23_DAY1_tube,exp2_23_DAY15_tube,exp2_23_DAY57_tube,exp2_24_DAY1_tube,exp2_24_DAY15_tube,exp2_24_DAY57_tube,exp2_25_DAY1_tube,exp2_25_DAY15_tube,exp2_25_DAY57_tube,exp2_26_DAY1_tube,exp2_26_DAY15_tube,exp2_26_DAY57_tube,exp2_27_DAY1_tube,exp2_27_DAY15_tube,exp2_27_DAY57_tube,exp2_28_DAY1_tube,exp2_28_DAY15_tube,exp2_28_DAY57_tube,exp2_29_DAY1_tube,exp2_29_DAY15_tube,exp2_29_DAY57_tube,exp2_3_DAY1_tube,exp2_3_DAY15_tube,exp2_3_DAY57_tube,exp2_30_DAY1_tube,exp2_30_DAY15_tube,exp2_30_DAY57_tube,exp2_31_DAY1_tube,exp2_31_DAY15_tube,exp2_31_DAY57_tube,exp2_32_DAY1_tube,exp2_32_DAY15_tube,exp2_32_DAY57_tube,exp2_4_DAY1_tube,exp2_4_DAY15_tube,exp2_4_DAY57_tube,exp2_5_DAY1_tube,exp2_5_DAY15_tube,exp2_5_DAY57_tube,exp2_6_DAY1_tube,exp2_6_DAY15_tube,exp2_6_DAY57_tube,exp2_7_DAY1_tube,exp2_7_DAY15_tube,exp2_7_DAY57_tube,exp2_8_DAY1_tube,exp2_8_DAY15_tube,exp2_8_DAY57_tube,exp2_81_DAY1_tube,exp2_81_DAY15_tube,exp2_81_DAY57_tube,exp2_82_DAY1_tube,exp2_82_DAY15_tube,exp2_82_DAY57_tube,exp2_83_DAY1_tube,exp2_83_DAY15_tube,exp2_83_DAY57_tube,exp2_84_DAY1_tube,exp2_84_DAY15_tube,exp2_84_DAY57_tube,exp2_85_DAY1_tube,exp2_85_DAY15_tube,exp2_85_DAY57_tube,exp2_86_DAY1_tube,exp2_86_DAY15_tube,exp2_86_DAY57_tube,exp2_87_DAY1_tube,exp2_87_DAY15_tube,exp2_87_DAY57_tube,exp2_88_DAY1_tube,exp2_88_DAY15_tube,exp2_88_DAY57_tube,exp2_89_DAY1_tube,exp2_89_DAY15_tube,exp2_89_DAY57_tube,exp2_9_DAY1_tube,exp2_9_DAY15_tube,exp2_9_DAY57_tube,exp2_90_DAY1_tube,exp2_90_DAY15_tube,exp2_90_DAY57_tube,exp2_91_DAY1_tube,exp2_91_DAY15_tube,exp2_91_DAY57_tube,exp2_92_DAY1_tube,exp2_92_DAY15_tube,exp2_92_DAY57_tube,exp2_93_DAY1_tube,exp2_93_DAY15_tube,exp2_93_DAY57_tube,exp2_94_DAY1_tube,exp2_94_DAY15_tube,exp2_94_DAY57_tube,exp2_95_DAY1_tube,exp2_95_DAY15_tube,exp2_95_DAY57_tube,exp2_96_DAY1_tube,exp2_96_DAY15_tube,exp2_96_DAY57_tube,exp2_MIX_GROUP1,exp2_MIX_GROUP2,exp2_MIX_GROUP3,exp2_MIX_GROUP4
exp2_1_DAY1_tube,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp2_1_DAY15_tube,-1.36882986497656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp2_1_DAY57_tube,-0.199378604671485,0.339375539278955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp2_10_DAY1_tube,-1.16442416293281,-1.00763992170712,-0.400170310608875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp2_10_DAY15_tube,-1.2912347419774,-0.188736830718016,-0.0608341856740382,-0.928871957031826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp2_10_DAY57_tube,-1.5107552789577,-0.146391095607404,1.43770661602671,-0.898534151838496,-0.500790833889768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp2_11_DAY1_tube,-0.542734905502494,-0.338010194244342,-0.0635358474102377,-0.872229311013228,-0.709752907491105,-0.941742684523123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp2_11_DAY15_tube,-1.27533969903491,-0.163476561070507,0.166922385288126,-0.883120910563196,0.226888547454384,0.372276734672322,-0.524927148382294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp2_11_DAY57_tube,-0.567361578961512,-0.221003359021322,-2.70496059931175,-0.6833675175635,-0.277618645129357,0.370872160265976,-0.519477701141329,-0.235918565356154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
exp2_12_DAY1_tube,-1.11952168069615,-1.12521186091785,-0.151609046606725,-1.05040108272225,-0.972044659203218,-1.25144768501983,-0.918774200524737,-1.0195781288577,-0.522078102697068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
