"","ASV","variable","value","new_name","Genus","newname2"
"1","d4ecfe33623f297a74de51d7f28b39aa","lfc_chitinase",-31.230943279978,"ASV218","Pseudorhodoferax","ASV218  -  Pseudorhodoferax"
"2","fb5c2aa7e7a97d1ba29b2c9405cb6a41","lfc_chitinase",-15.6209749450499,"ASV 4","Enterobacteriaceae","ASV 4  -  Enterobacteriaceae"
"3","24051ef88d0304b64d9d8f9b863126e6","lfc_chitinase",-12.2433927064501,"ASV 26","Shinella","ASV 26  -  Shinella"
"4","1cb29f361033ce208d7efc9e2aa80ee0","lfc_chitinase",-10.8653900162811,"ASV 43","Chryseobacterium","ASV 43  -  Chryseobacterium"
"5","0ede2e6cb60ed7ba28f6b84ee6e5ec82","lfc_chitinase",-10.1824441316121,"ASV 29","Pelosinus","ASV 29  -  Pelosinus"
"6","fc6622c636a5210293fb2873fc4761d9","lfc_chitinase",8.43526616443986,"ASV 50","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","ASV 50  -  Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"7","86b092aefa12a97f8ff02f3d84807586","lfc_chitinase",9.30271339696612,"ASV18","Clostridium","ASV18  -  Clostridium"
"8","4605b879a4aa457b76cf5eb5fbab39c9","lfc_chitinase",10.1839326155811,"ASV 15","Sedimentibacter","ASV 15  -  Sedimentibacter"
"9","dcba105f35d8ebc9e22269c7491ad3a7","lfc_chitinase",10.351715872269,"ASV9","Stenotrophomonas","ASV9  -  Stenotrophomonas"
"10","f36c50279a8fa1c121cb9dda1ab1cb42","lfc_chitinase",10.8745097344633,"ASV 7","Comamonadaceae","ASV 7  -  Comamonadaceae"
"11","1583d8af9fd9cb078f88c0e1a8b8a888","lfc_chitinase",11.6807735147232,"ASV106","Ancylobacter","ASV106  -  Ancylobacter"
"12","e67b78aab8cb557736519f911b315dd3","lfc_chitinase",12.2253439452626,"ASV 30 ","Pelosinus","ASV 30   -  Pelosinus"
"13","3ee9ea8043c9565ae5709f1ed96d639d","lfc_chitinase",12.6936478230974,"ASV 119","Pleomorphomonas","ASV 119  -  Pleomorphomonas"
"14","1253c7a4636562f33ebc360882fa65da","lfc_chitinase",13.4448829878347,"ASV22","Chitinophaga","ASV22  -  Chitinophaga"
"15","d007cee006889a1090c2d5bfb35a1953","lfc_chitinase",14.3276090350977,"ASV 8 ","Aquitalea","ASV 8   -  Aquitalea"
"16","4473ac847f597164696bc96da74ca753","lfc_chitinase",20.9589754138344,"ASV 78","Bosea","ASV 78  -  Bosea"
"17","3d5baff45729bf2214074c2e9f77ad10","lfc_chitinase",22.0317328626148,"ASV 6","Acinetobacter","ASV 6  -  Acinetobacter"
"18","f0613d40b7c48dc84869fcdb278cb465","lfc_chitinase",25.5757739095947,"ASV75","0319-6G20","ASV75  -  0319-6G20"
