,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,81,82,83,84,85,86,87,88,89,90,93,92,91,94,95,96
Pyruvic acid methyl ester,1.389,1.257,1.341,1.39,1.093,1.079,1.165,1.193,1.512,1.574,1.444,1.524,1.414,1.425,1.237,1.264,0.552,0.59,0.803,0.491,0.877,0.769,0.566,0.628,1.039,0.781,0.846,1.166,1.023,1.181,1.083,1.114,0.789,1.488,0.918,0.638,1.357,0.661,0.504,0.369,1.074,1.557,0.998,0.897,1.114,1.144,0.921,1.147
Tween 40,1.123,1.165,1.278,1.183,1.044,1.357,0.82,1.046,1.223,1.194,1.288,0.973,1.262,1.129,1.118,0.883,1.206,1.333,0.895,1.103,1.174,0.924,1.33,1.263,1.326,1.03,1.047,1.008,1.358,1.059,0.828,1.255,0.677,0.251,0.514,0.623,1.09,0.549,0.893,0.787,1.484,1.422,1.027,1.249,1.368,0.97,0.8,1.022
Tween 80,1.458,1.623,1.73,1.628,1.238,1.489,1.041,1.264,1.342,1.18,1.474,1.145,1.441,1.344,1.306,1.428,1.135,1.033,1.145,1.179,1.088,1.242,1.305,1.032,1.063,1.075,0.962,0.834,1.02,1.009,1.046,1.063,0.812,0.445,0.565,0.692,1.099,0.613,1.379,0.837,1.035,1.088,1.079,0.838,1.012,1.068,0.726,1.02
Alpha-cyclodextrin,0.796,0.79,0.792,0.757,0.887,0.943,0.658,0.972,0.872,0.834,0.903,0.853,1.042,0.888,0.85,0.822,0.536,0.405,0.265,0.521,0.641,0.749,0.768,0.619,0.227,0.429,0.36,0.457,0.66,0.618,0.609,0.724,0.088,-0.258,0.14,-0.04,0.262,0.506,-0.109,0.181,-0.131,-0.313,0.25,-0.053,-0.002,0.234,0.323,0.552
Glycogen,0.934,0.823,0.997,1.209,0.785,1.187,1.469,1.02,1.322,1.289,1.225,0.92,0.995,0.787,0.946,0.67,0.789,0.212,0.028,0.645,0.935,0.683,0.96,0.865,0.187,0.73,0.597,0.467,0.792,0.741,0.743,0.978,0.953,0.995,0.46,0.319,1.223,0.275,-0.1,0.749,-0.119,-0.362,0.518,-0.107,-0.03,1.102,0.702,1.023
D-Cellobiose,0.648,0.89,0.943,0.868,0.759,0.804,0.727,0.673,0.843,1.416,1.086,1.176,0.823,0.953,0.68,0.542,0.68,0.487,0.321,0.602,0.643,0.661,0.635,0.542,0.736,0.658,0.41,0.623,0.717,0.674,0.485,0.473,0.052,0.282,0.122,-0.05,0.385,0.725,0.209,0.404,0.669,0.477,0.203,1.896,0.347,0.099,0.434,0.397
alpha-D-Lactose,0.7,0.683,0.721,0.75,0.663,0.774,0.793,0.823,1.007,1.177,1.16,0.968,1.171,0.998,0.833,0.796,0.595,0.584,0.413,0.427,0.731,0.89,0.46,0.517,0.442,0.4,0.347,0.52,0.702,0.593,0.519,0.567,-0.067,0.386,0.092,-0.22,0.301,0.167,0.136,0.301,0.52,0.368,0.065,1.136,0.437,0.41,0.388,0.454
Beta-Methyl-D-Glucoside,1.315,1.845,2.016,1.593,1.693,1.482,1.576,1.478,2.121,2.472,2.292,2.13,2.024,1.804,1.511,1.62,0.468,0.476,0.351,0.497,2.2,2.114,1.601,1.837,1.758,1.483,1.428,1.563,2.397,1.894,1.615,1.968,1.141,2.116,0.718,0.09,0.881,0.55,0.652,0.124,1.644,1.5,1.187,1.912,1.019,1.279,1.396,1.793
D-Xylose,0.623,0.681,0.741,0.668,0.578,0.753,0.593,0.705,0.706,0.708,0.731,0.539,0.787,0.732,0.592,0.46,0.26,0.249,0.244,0.259,0.349,0.321,0.291,0.193,0.215,0.22,0.21,0.316,0.313,0.454,0.38,0.248,-0.246,0.005,-0.015,-0.182,0.249,0.133,0.058,0.149,0.27,0.238,0.001,0.443,0.521,-0.074,-0.066,-0.028
