sample_id,container,food,ph,temperature,wk
1,tube,3,4,22,8
2,tube,3,4,22,8
3,tube,3,4,22,8
4,tube,3,4,22,8
5,tube,6,4,22,8
6,tube,6,4,22,8
7,tube,6,4,22,8
8,tube,6,4,22,8
9,tube,3,5.6,22,8
10,tube,3,5.6,22,8
11,tube,3,5.6,22,8
12,tube,3,5.6,22,8
13,tube,6,5.6,22,8
14,tube,6,5.6,22,8
15,tube,6,5.6,22,8
16,tube,6,5.6,22,8
17,tube,3,4,37,8
18,tube,3,4,37,8
19,tube,3,4,37,8
20,tube,3,4,37,8
21,tube,6,4,37,8
22,tube,6,4,37,8
23,tube,6,4,37,8
24,tube,6,4,37,8
25,tube,3,5.6,37,8
26,tube,3,5.6,37,8
27,tube,3,5.6,37,8
28,tube,3,5.6,37,8
29,tube,6,5.6,37,8
30,tube,6,5.6,37,8
31,tube,6,5.6,37,8
32,tube,6,5.6,37,8
81,tube,3,3,22,8
82,tube,3,3,22,8
83,tube,3,3,37,8
84,tube,3,3,37,8
85,tube,6,3,22,8
86,tube,6,3,22,8
87,tube,6,3,37,8
88,tube,6,3,37,8
89,tube,3,3,37,8
90,tube,3,3,37,8
91,tube,6,3,37,8
92,tube,6,3,37,8
93,tube,6,3,22,8
94,tube,6,3,22,8
95,tube,3,3,22,8
96,tube,3,3,22,8
