sample_id,container,food,ph,temperature,wk
1,tube,3,4,22,1
2,tube,3,4,22,1
3,tube,3,4,22,1
4,tube,3,4,22,1
5,tube,6,4,22,1
6,tube,6,4,22,1
7,tube,6,4,22,1
8,tube,6,4,22,1
9,tube,3,5.6,22,1
10,tube,3,5.6,22,1
11,tube,3,5.6,22,1
12,tube,3,5.6,22,1
13,tube,6,5.6,22,1
14,tube,6,5.6,22,1
15,tube,6,5.6,22,1
16,tube,6,5.6,22,1
17,tube,3,4,37,1
18,tube,3,4,37,1
19,tube,3,4,37,1
20,tube,3,4,37,1
21,tube,6,4,37,1
22,tube,6,4,37,1
23,tube,6,4,37,1
24,tube,6,4,37,1
25,tube,3,5.6,37,1
26,tube,3,5.6,37,1
27,tube,3,5.6,37,1
28,tube,3,5.6,37,1
29,tube,6,5.6,37,1
30,tube,6,5.6,37,1
31,tube,6,5.6,37,1
32,tube,6,5.6,37,1
81,tube,3,3,22,1
82,tube,3,3,22,1
83,tube,3,3,37,1
84,tube,3,3,37,1
85,tube,6,3,22,1
86,tube,6,3,22,1
87,tube,6,3,37,1
88,tube,6,3,37,1
89,tube,3,3,37,1
90,tube,3,3,37,1
91,tube,6,3,37,1
92,tube,6,3,37,1
93,tube,6,3,22,1
94,tube,6,3,22,1
95,tube,3,3,22,1
96,tube,3,3,22,1
