,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
Pyruvic acid methyl ester,1.807,2.013,2.053,1.694,1.812,1.981,1.245,1.572,1.541,1.424,1.587,1.734,1.695,2.062,2.079,2.2,2.304,2.364,1.262,2.006,2.027,1.467,1.924,1.909,1.311,1.81,1.843,1.58,1.756,1.678,1.704,2.006,1.075,1.213,0.491,1.15,1.122,0.56,1.165,1.596,0.977,1.007,1.067,0.767,1.669,1.816,1.495,1.74
Tween 40,0.796,1.131,1.22,0.825,1.386,1.545,1.146,1.583,1.146,1.053,1.454,1.132,0.853,1.271,1.346,1.209,1.322,1.582,1.355,1.265,1.466,1.457,1.303,1.497,1.177,1.561,1.426,0.869,1.48,1.245,1.092,1.367,0.193,0.034,0.06,0.682,0.221,-0.143,1.475,1.26,0.147,0.093,0.094,0.046,0.794,0.904,0.301,0.723
Tween 80,0.683,1.211,1.205,0.791,1.538,1.618,1.434,1.648,1.079,0.852,1.353,1.292,1.031,1.713,1.714,1.104,1.585,1.726,1.465,1.606,1.491,1.389,1.344,1.333,1.119,1.079,1.309,1.007,1.16,1.316,1.227,1.382,0.031,0.219,-0.199,0.173,0.059,-0.245,0.16,0.447,0.146,0.227,0.208,-0.24,0.976,1.233,0.525,0.928
Alpha-cyclodextrin,0.074,0.481,0.453,0.17,0.547,0.64,0.282,0.476,0.432,0.253,0.575,0.545,0.546,0.851,0.893,0.499,0.654,0.696,-0.005,0.198,0.734,0.327,0.631,0.597,0.123,0.21,0.252,0.082,0.379,0.511,0.23,0.433,-0.072,-0.013,-0.139,-0.079,0.004,-0.236,-0.087,0.247,-0.053,-0.008,0.096,-0.123,0.328,0.179,0.007,-0.098
Glycogen,0.653,0.895,0.883,0.569,0.845,0.956,1.183,1.048,0.77,0.519,0.653,0.66,0.81,0.771,0.768,0.834,0.808,0.753,0.505,0.59,0.805,0.577,0.685,0.672,0.609,0.608,0.743,0.584,0.647,0.715,0.83,0.846,0.212,0.224,-0.262,0.189,0.305,0.13,-0.023,0.147,-0.12,0.126,0.216,-0.158,1.141,0.935,0.232,0.378
D-Cellobiose,2.42,2.498,2.497,2.385,2.79,2.542,2.357,2.607,2.389,2.51,2.583,2.527,2.752,3,2.802,2.552,1.939,1.967,1.747,1.623,1.684,1.757,1.783,1.648,2.075,1.917,2.181,2.102,2.184,2.163,1.937,2.069,1.886,1.95,1.384,2.06,1.716,1.615,2.367,2.465,2.13,2.078,2.097,2.01,2.482,2.439,1.902,2.119
alpha-D-Lactose,1.203,1.4,1.455,1.191,1.43,1.468,1.046,1.298,1.646,1.523,1.732,1.812,1.518,1.955,1.996,1.606,1.199,1.377,1.142,1.147,1.177,1.09,1.171,1.104,1.313,1.369,2.332,1.31,1.395,1.525,1.388,1.518,1.221,1.313,0.848,1.551,1.408,0.959,1.717,1.739,1.293,1.557,1.95,1.122,1.333,1.207,0.908,0.958
Beta-Methyl-D-Glucoside,2.548,2.694,2.643,2.524,2.763,2.77,2.365,2.54,2.126,2.415,2.679,2.643,2.741,2.708,2.811,2.624,2.8,2.827,2.682,2.991,2.647,2.58,2.536,2.605,2.459,2.744,2.975,2.407,2.727,2.915,2.643,2.624,2.289,2.368,1.798,2.005,1.918,1.898,2.369,2.442,2.036,2.226,2.017,1.922,2.287,2.484,1.929,2.326
D-Xylose,1.138,0.76,0.779,0.507,0.856,0.829,0.708,1.002,0.777,0.897,1.054,0.86,1.274,1.48,1.214,1.359,0.891,0.894,0.556,0.683,0.64,0.523,0.72,0.774,0.55,0.763,0.79,0.671,0.911,1.021,2.069,1.141,0.6,0.434,0.569,0.725,0.643,0.247,0.825,0.643,0.467,0.574,0.647,0.506,0.775,0.741,0.403,0.529
