#OTU ID	exp2_1_DAY1_tube	exp2_1_DAY15_tube	exp2_1_DAY57_tube	exp2_10_DAY1_tube	exp2_10_DAY15_tube	exp2_10_DAY57_tube	exp2_11_DAY1_tube	exp2_11_DAY15_tube	exp2_11_DAY57_tube	exp2_12_DAY1_tube	exp2_12_DAY15_tube	exp2_12_DAY57_tube	exp2_13_DAY1_tube	exp2_13_DAY15_tube	exp2_13_DAY57_tube	exp2_14_DAY1_tube	exp2_14_DAY15_tube	exp2_14_DAY57_tube	exp2_15_DAY1_tube	exp2_15_DAY15_tube	exp2_15_DAY57_tube	exp2_16_DAY1_tube	exp2_16_DAY15_tube	exp2_16_DAY57_tube	exp2_17_DAY1_tube	exp2_17_DAY15_tube	exp2_17_DAY57_tube	exp2_18_DAY1_tube	exp2_18_DAY15_tube	exp2_18_DAY57_tube	exp2_19_DAY1_tube	exp2_19_DAY15_tube	exp2_19_DAY57_tube	exp2_2_DAY1_tube	exp2_2_DAY15_tube	exp2_2_DAY57_tube	exp2_20_DAY1_tube	exp2_20_DAY15_tube	exp2_20_DAY57_tube	exp2_21_DAY1_tube	exp2_21_DAY15_tube	exp2_21_DAY57_tube	exp2_22_DAY1_tube	exp2_22_DAY15_tube	exp2_22_DAY57_tube	exp2_23_DAY1_tube	exp2_23_DAY15_tube	exp2_23_DAY57_tube	exp2_24_DAY1_tube	exp2_24_DAY15_tube	exp2_24_DAY57_tube	exp2_25_DAY1_tube	exp2_25_DAY15_tube	exp2_25_DAY57_tube	exp2_26_DAY1_tube	exp2_26_DAY15_tube	exp2_26_DAY57_tube	exp2_27_DAY1_tube	exp2_27_DAY15_tube	exp2_27_DAY57_tube	exp2_28_DAY1_tube	exp2_28_DAY15_tube	exp2_28_DAY57_tube	exp2_29_DAY1_tube	exp2_29_DAY15_tube	exp2_29_DAY57_tube	exp2_3_DAY1_tube	exp2_3_DAY15_tube	exp2_3_DAY57_tube	exp2_30_DAY1_tube	exp2_30_DAY15_tube	exp2_30_DAY57_tube	exp2_31_DAY1_tube	exp2_31_DAY15_tube	exp2_31_DAY57_tube	exp2_32_DAY1_tube	exp2_32_DAY15_tube	exp2_32_DAY57_tube	exp2_4_DAY1_tube	exp2_4_DAY15_tube	exp2_4_DAY57_tube	exp2_5_DAY1_tube	exp2_5_DAY15_tube	exp2_5_DAY57_tube	exp2_6_DAY1_tube	exp2_6_DAY15_tube	exp2_6_DAY57_tube	exp2_7_DAY1_tube	exp2_7_DAY15_tube	exp2_7_DAY57_tube	exp2_8_DAY1_tube	exp2_8_DAY15_tube	exp2_8_DAY57_tube	exp2_81_DAY1_tube	exp2_81_DAY15_tube	exp2_81_DAY57_tube	exp2_82_DAY1_tube	exp2_82_DAY15_tube	exp2_82_DAY57_tube	exp2_83_DAY1_tube	exp2_83_DAY15_tube	exp2_83_DAY57_tube	exp2_84_DAY1_tube	exp2_84_DAY15_tube	exp2_84_DAY57_tube	exp2_85_DAY1_tube	exp2_85_DAY15_tube	exp2_85_DAY57_tube	exp2_86_DAY1_tube	exp2_86_DAY15_tube	exp2_86_DAY57_tube	exp2_87_DAY1_tube	exp2_87_DAY15_tube	exp2_87_DAY57_tube	exp2_88_DAY1_tube	exp2_88_DAY15_tube	exp2_88_DAY57_tube	exp2_89_DAY1_tube	exp2_89_DAY15_tube	exp2_89_DAY57_tube	exp2_9_DAY1_tube	exp2_9_DAY15_tube	exp2_9_DAY57_tube	exp2_90_DAY1_tube	exp2_90_DAY15_tube	exp2_90_DAY57_tube	exp2_91_DAY1_tube	exp2_91_DAY15_tube	exp2_91_DAY57_tube	exp2_92_DAY1_tube	exp2_92_DAY15_tube	exp2_92_DAY57_tube	exp2_93_DAY1_tube	exp2_93_DAY15_tube	exp2_93_DAY57_tube	exp2_94_DAY1_tube	exp2_94_DAY15_tube	exp2_94_DAY57_tube	exp2_95_DAY1_tube	exp2_95_DAY15_tube	exp2_95_DAY57_tube	exp2_96_DAY1_tube	exp2_96_DAY15_tube	exp2_96_DAY57_tube	exp2_MIX_GROUP1	exp2_MIX_GROUP2	exp2_MIX_GROUP3	exp2_MIX_GROUP4	neg_control1	neg_control2	neg_control3	neg_control4
d32e579b3ae7b2aae8d5bf9f027c29af	4904	2768	0	6299	4544	449	7126	5360	0	7344	3623	204	3528	5674	1885	2960	7618	1331	3050	3945	839	3633	4328	7518	3534	3311	349	2581	5528	482	6822	5205	632	6575	2651	196	6521	2743	467	4146	23946	1237	3554	16193	1220	3922	13739	1154	4208	25670	687	3964	2733	141	4455	5314	212	4605	1936	304	3766	2876	324	3513	2875	677	6334	6237	0	3461	18366	1308	3350	11948	1456	2107	11133	618	8231	3426	69	3010	6362	2811	1964	3189	151	5439	4215	174	3989	1976	186	6230	654	0	7305	230	115	12047	3315	1220	12392	2323	54	14165	927	2063	10090	4091	14728	5199	61	3702	16470	84	3534	12093	176	0	7844	7428	30	14803	114	0	7695	275	18135	9897	1537	0	11105	8289	10327	6372	1757	562	9540	2010	228	5135	1105	272	9475	11457	6513	6410	772	486	266	36
38c27ceaed634984c1225a82648cf571	4408	6301	0	5623	7913	2154	4587	10613	0	4623	7242	521	3760	5960	435	3632	20284	551	3361	2594	842	4129	7040	2789	2136	1682	985	1891	1871	1138	2235	911	682	6460	8407	348	1698	1011	1236	1272	1140	406	1154	1526	286	455	2584	526	986	1691	309	1332	1379	579	1757	2228	373	2244	1018	458	2066	915	657	1883	1655	176	6265	15482	72	1956	369	248	1423	741	306	1614	715	236	7809	7724	65	4018	9492	2107	1521	7780	798	3351	8970	1621	2254	4865	1193	1382	338	0	1835	417	0	2804	0	434	2714	11	232	2214	269	711	1907	5735	2324	2404	13	1080	3822	42	284	9968	58	545	5065	9975	496	12366	84	67	6207	265	656	7530	2022	381	9736	10644	3750	5780	4105	935	8284	4451	399	4011	5453	215	2270	1125	568	1838	0	0	0	0
1b98b00b0fc819488d76aa0c09d57bcc	3367	2348	24	3534	1993	1319	4418	3093	15	4404	1695	118	2059	1583	458	1539	4975	267	1568	1320	734	2267	1970	1250	1356	3428	3790	998	2597	1223	1671	2256	1420	4587	3125	206	1345	1737	4498	800	1359	3379	1012	1921	2839	911	3646	2634	1082	2561	2434	1632	2100	1465	1401	3509	1821	1276	1708	679	1058	2004	1285	854	2166	926	4268	5448	0	1012	581	2137	904	933	1718	705	558	1241	5282	1997	13	2968	2990	741	1184	3427	132	3795	4328	295	3012	1353	353	3078	1300	8	4113	250	153	4802	311	2044	4546	576	3316	6064	1886	682	4256	844	1338	2101	16	25	6282	20	0	9303	58	29	4091	2754	11	9918	45	10	5868	213	7	6210	877	13	7000	6131	1427	4167	13357	350	5136	3386	501	3502	2217	689	5419	4388	9461	11040	140	84	36	0
fb5c2aa7e7a97d1ba29b2c9405cb6a41	3125	944	0	6946	1806	406	6971	3098	0	7250	2033	112	5119	1803	0	5152	6372	53	4697	1419	46	6901	1379	73	2058	83	29	1223	50	0	2130	37	26	4127	974	21753	1936	32	56	1516	127	64	1703	122	50	1526	193	34	2126	97	27	3487	48	0	3765	84	21	4098	43	0	3665	55	35	4599	84	53	4256	2216	47	3903	104	59	4508	45	69	3903	0	61	5196	1055	0	3518	1158	88	1375	1050	0	4460	1252	50	3467	494	0	12457	1518	0	13100	845	267	21218	137	0	19094	196	0	21336	1553	94	19959	1906	153	575	504	21	1523	522	0	3761	19288	155	7008	1881	0	4836	19602	0	3197	33343	113	3905	33692	361	3605	852	50	1936	4402	0	5384	4233	0	3832	2408	204	765	754	1101	1570	0	0	0	0
8288851f251eebdef1f667427dc6ae0e	2077	1156	0	1877	872	442	2876	1601	81	3416	862	34	2322	425	714	1102	6068	1711	1468	952	3415	1647	1924	3588	1455	325	28	1102	263	53	1563	242	212	2337	1302	123	1267	201	44	1193	1745	532	1347	9008	361	1216	490	80	1885	4743	303	1276	677	34	1299	1493	56	1743	560	85	1691	687	174	2289	206	247	2572	3262	15	1684	4085	805	2328	660	533	1623	678	257	4094	1284	18	3555	1499	2455	925	1766	3476	3614	1626	1921	3250	757	2088	5539	521	76	5017	317	451	2089	16	11	2466	0	0	4960	1446	2847	4186	10973	10062	1209	4713	3657	3309	17	0	4233	75	25	2951	1347	0	6217	62	0	3170	176	0	3504	765	0	3694	5016	3259	2196	2756	3980	5031	8469	454	4156	9169	5556	1629	2027	3288	6069	19	15	0	0
3d5baff45729bf2214074c2e9f77ad10	814	164	0	522	232	277	536	373	9	317	189	10	346	73	0	590	850	7	487	188	16	579	137	40	12137	3000	7110	6671	2323	7611	8899	1075	9701	939	77	0	9894	1746	6727	10072	536	1970	7377	247	2192	10181	3499	3297	11551	1091	1076	8747	8717	5435	11507	3991	3893	11078	2984	3925	8975	6058	6479	13792	1539	4456	1181	274	27	11352	360	397	13331	526	2011	10860	3052	5325	1160	224	0	604	95	35	364	91	11	765	64	22	483	30	26	66	5	0	136	9	0	192	9	9	184	0	0	190	113	20	145	0	18	87	5	5792	209	14364	21896	222	7	15	373	123	0	224	10	19714	99	19	8	129	9	0	165	28	355	97	12	644	137	25	45	76	81	101	184	178	93	225	0	0	0	0
f36c50279a8fa1c121cb9dda1ab1cb42	20	3181	51	13	2843	4054	36	5175	47	13	3910	369	13	941	1092	0	7117	2030	14	472	2774	0	797	1682	18	7167	16443	15	4334	16536	24	6418	14235	0	2712	0	18	5217	24453	0	308	18090	0	926	15931	0	2860	17368	10	803	17348	15	8869	11399	14	16251	9054	18	9936	12839	0	9431	16492	0	4418	20507	20	5608	0	0	192	18194	0	403	17742	0	261	16408	38	3284	35	17	1680	1804	0	2522	1658	25	685	1745	0	934	1991	0	2233	42	0	775	114	69	0	0	67	327	11764	75	1226	1231	0	288	711	27	0	0	89	0	0	177	0	0	28	5138	41	287	0	9	208	21	0	175	32	0	135	28	22	108	0	0	121	3815	419	83	3442	819	51	78	31	124	0	0	0	0
d007cee006889a1090c2d5bfb35a1953	24	7098	0	29	1405	1046	0	2898	70	36	3881	196	27	1566	600	9	1043	219	0	140	723	20	1198	67	73	2055	5414	61	3259	6779	111	4682	5495	41	4418	0	61	741	18335	0	596	2073	26	2970	4691	19	3369	5147	53	539	2767	35	765	1866	49	823	3366	76	2444	10183	53	745	8481	25	2034	3752	34	10924	48	21	53	2135	19	256	2451	0	506	3121	43	4075	72	0	1382	2965	0	2006	1568	34	453	894	0	417	1442	0	2007	156	0	401	74	31	1939	4588	0	2218	9955	0	0	0	33	0	35	0	0	0	0	0	0	0	0	0	0	2588	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0
dcba105f35d8ebc9e22269c7491ad3a7	263	2684	23	497	3050	263	599	4000	0	724	2141	0	494	2381	155	308	8376	140	350	1143	179	280	2410	205	510	2362	3174	475	1959	2632	924	2738	3300	264	3517	50	910	2170	3202	776	4113	1557	977	3566	1241	560	5465	826	491	5198	768	699	2823	1782	680	4921	1515	826	2755	1779	657	3065	1935	1145	3353	828	276	4842	0	918	2461	429	908	2704	1144	749	3357	750	363	2015	0	159	1710	268	104	3676	120	209	4533	227	128	1810	157	178	643	0	232	308	0	264	1622	2960	253	1040	2390	375	1271	233	248	1234	450	168	22	3493	373	19	1561	2511	59	6811	734	3952	29	3220	73	2060	1734	86	4622	1874	419	2188	2390	6065	642	1401	3466	119	2163	945	54	1117	847	181	346	226	1176	2788	51	0	30	12
20b3df08cd5fac2be26a2928155bab69	53	569	0	61	1699	874	79	2638	11	57	2104	155	47	2418	1088	31	5480	755	23	964	3037	31	2543	940	88	1308	437	81	590	430	108	492	483	51	1191	47	83	766	688	30	1646	1363	37	5995	652	51	5286	1237	45	831	661	30	977	100	44	1109	203	75	846	198	65	980	282	60	433	421	51	3627	0	55	698	745	50	279	657	26	199	318	77	752	0	41	978	632	26	496	345	59	2236	217	35	1279	695	114	963	0	139	275	138	271	15644	15094	247	12987	655	291	459	2087	171	1115	7095	84	14204	17904	260	10324	9248	735	0	29646	70	1682	0	965	11	6465	537	17	8	633	81	21534	668	2996	11934	379	3683	1999	576	1518	129	298	1332	722	144	205	223	1014	0	0	0	0
