"","Df","SumOfSqs","F","Pr(>F)"
"temperature37",1,1.28528855751253,21.5442435452123,0.001
"ph4",1,0.0382735476050844,0.641548254766265,0.648
"ph3",1,0.158052916259053,2.6493120949479,0.051
"food6",1,0.848604371701173,14.2244627874419,0.001
"temperature37:ph4",1,0.190237795148905,3.18880096320491,0.029
"temperature37:ph3",1,0.168155392959032,2.81865167022226,0.044
"temperature37:food6",1,0.60431261423838,10.1295993514426,0.001
"ph4:food6",1,0.0670569718517324,1.12402131376174,0.303
"ph3:food6",1,0.0469647285399053,0.787231430470925,0.47
"temperature37:ph4:food6",1,0.0472834303555536,0.792573569008218,0.495
"temperature37:ph3:food6",1,0.028599640491656,0.479392441842184,0.762
"Residual",35,2.0880333727445,NA,NA
