"","dna_con_ug_ml","sample_id","day","container","treatment_combo","food","ph","temperature","data_inoculated","chitinase","protease","respiration_co2_ppm_hr","ph_final","color","final_volume_ml","scaled_chit","scaled_prot","richness","shannon.16s","ef.16s"
"exp2_1_DAY1_tube",3.9185,"1","1","tube","temp22_ph4_food3",3,4,22,"3/14/22",0.011233069,280.3949853,NA,NA,NA,NA,-1.20089772342164,-0.355554109907506,36,2.66722844245311,14.400003396545
"exp2_1_DAY15_tube",12.5485,"1","15","tube","temp22_ph4_food3",3,4,22,"3/14/22",0.169163417,948.4956032,11853.46943,NA,NA,NA,0.991002491229347,0.888406379712663,45,2.87526457503493,17.7301144466118
"exp2_1_DAY57_tube",0.492,"1","57","tube","temp22_ph4_food3",3,4,22,"3/14/22",0.062659038,528.5725208,1848.303353,7.93,"LT",20,-0.487161611792638,0.106536539766936,73,3.14877615235006,23.3075222624338
"exp2_10_DAY1_tube",1.591,"10","1","tube","temp22_ph5.6_food3",3,5.6,22,"3/14/22",0.013283315,238.8512968,NA,NA,NA,NA,-1.17244255502369,-0.432905792726669,40,2.55140478641591,12.8251076709321
"exp2_10_DAY15_tube",9.3185,"10","15","tube","temp22_ph5.6_food3",3,5.6,22,"3/14/22",0.093721445,808.8418016,8725.841183,NA,NA,NA,-0.056049432068471,0.628379960396199,43,2.93064096846958,18.7396381651885
"exp2_10_DAY57_tube",3.941,"10","57","tube","temp22_ph5.6_food3",3,5.6,22,"3/14/22",0.06728479,557.4897695,12036.64953,7.89,"LT",20,-0.422961241628683,0.160378601707229,69,2.40052055472034,11.0289160409137
"exp2_11_DAY1_tube",2.4185,"11","1","tube","temp22_ph5.6_food3",3,5.6,22,"3/14/22",0.009829978,254.980972,NA,NA,NA,NA,-1.22037108938975,-0.402873372277374,42,2.63549924194403,13.9502752875055
"exp2_11_DAY15_tube",8.681,"11","15","tube","temp22_ph5.6_food3",3,5.6,22,"3/14/22",0.12774571,743.954946,9856.776731,NA,NA,NA,0.416170091926006,0.507564797979794,44,3.02023691540234,20.4961469619291
"exp2_11_DAY57_tube",0.6085,"11","57","tube","temp22_ph5.6_food3",3,5.6,22,"3/14/22",0.057026815,503.1909766,10650.40399,7.95,"LT",20,-0.565330696829177,0.0592777327782649,80,2.76748380988278,15.9185295290225
"exp2_12_DAY1_tube",1.0085,"12","1","tube","temp22_ph5.6_food3",3,5.6,22,"3/14/22",0.009719263,239.2536846,NA,NA,NA,NA,-1.22190769229944,-0.432156572457604,36,2.59812827371956,13.4385611721368
"exp2_12_DAY15_tube",8.5585,"12","15","tube","temp22_ph5.6_food3",3,5.6,22,"3/14/22",0.189219969,826.1521565,6854.528522,NA,NA,NA,1.26936546066926,0.660610730702306,40,2.95083690667578,19.1219503213481
"exp2_12_DAY57_tube",3.122,"12","57","tube","temp22_ph5.6_food3",3,5.6,22,"3/14/22",0.057741794,531.9745892,11470.02476,8,"LT",20,-0.555407571581768,0.112870972873565,80,2.70451605196069,14.9470813291951
"exp2_13_DAY1_tube",5.7035,"13","1","tube","temp22_ph5.6_food6",6,5.6,22,"3/14/22",0.010483542,232.4396656,NA,NA,NA,NA,-1.21130033706108,-0.444843838693286,46,2.67290911167071,14.4820378372299
"exp2_13_DAY15_tube",11.281,"13","15","tube","temp22_ph5.6_food6",6,5.6,22,"3/14/22",0.020324456,812.6678723,9334.529529,NA,NA,NA,-1.07471923164262,0.63550385858425,42,2.93705528520936,18.8602264723161
"exp2_13_DAY57_tube",1.247,"13","57","tube","temp22_ph5.6_food6",6,5.6,22,"3/14/22",0.044562876,623.7094313,16987.6837,8.07,"LT",20,-0.738316515675703,0.283675363764018,45,2.61816675004232,13.7105656378457
"exp2_14_DAY1_tube",2.966,"14","1","tube","temp22_ph5.6_food6",6,5.6,22,"3/14/22",0.018069857,235.432899,NA,NA,NA,NA,-1.10601059580812,-0.439270630128512,37,2.53924540856993,12.6701066088298
"exp2_14_DAY15_tube",5.2335,"14","15","tube","temp22_ph5.6_food6",6,5.6,22,"3/14/22",0.047610806,1037.359044,24766.33229,NA,NA,NA,-0.696014586338847,1.0538644055926,39,2.96805066365827,19.4539602985317
"exp2_14_DAY57_tube",1.9395,"14","57","tube","temp22_ph5.6_food6",6,5.6,22,"3/14/22",0.043738095,534.7596712,10399.85429,8.08,"LT",20,-0.74976357239301,0.118056616885155,43,2.46817209744303,11.8008563095317
"exp2_15_DAY1_tube",4.5085,"15","1","tube","temp22_ph5.6_food6",6,5.6,22,"3/14/22",0.01499173,236.9541904,NA,NA,NA,NA,-1.14873162642361,-0.43643808313769,42,2.60665158284935,13.5535917072893
"exp2_15_DAY15_tube",5.131,"15","15","tube","temp22_ph5.6_food6",6,5.6,22,"3/14/22",0.04870668,859.5421928,13595.51317,NA,NA,NA,-0.680805055768887,0.722780836209378,41,2.92708694791496,18.6731553166476
"exp2_15_DAY57_tube",3.7835,"15","57","tube","temp22_ph5.6_food6",6,5.6,22,"3/14/22",0.047338534,533.3229173,12057.34375,8.11,"LT",20,-0.699793423419883,0.115381473295967,45,2.5286893226276,12.5370633181996
"exp2_16_DAY1_tube",2.2185,"16","1","tube","temp22_ph5.6_food6",6,5.6,22,"3/14/22",0.012277489,221.9614505,NA,NA,NA,NA,-1.18640231800288,-0.464353602996621,38,2.54347665842964,12.7238305752498
"exp2_16_DAY15_tube",5.246,"16","15","tube","temp22_ph5.6_food6",6,5.6,22,"3/14/22",0.098839239,1027.50239,20216.13586,NA,NA,NA,0.0149799420144603,1.03551194818222,44,2.93846966769841,18.8869209200075
"exp2_16_DAY57_tube",4.246,"16","57","tube","temp22_ph5.6_food6",6,5.6,22,"3/14/22",0.039809755,637.9386803,1745.275164,8.15,"LT",20,-0.804284628024586,0.310169312547668,42,2.53130258896728,12.5698688498938
"exp2_17_DAY1_tube",2.086,"17","1","tube","temp37_ph4_food3",3,4,37,"3/14/22",0.043943435,242.3911702,NA,NA,NA,NA,-0.746913678146742,-0.426314775550695,37,2.41231653680034,11.1597832731989
"exp2_17_DAY15_tube",5.1185,"17","15","tube","temp37_ph4_food3",3,4,37,"3/14/22",0.175393916,269.8147796,11068.38108,NA,NA,NA,1.07747499172357,-0.375253774164999,42,2.86846941742729,17.6100439355815
"exp2_17_DAY57_tube",2.5385,"17","57","tube","temp37_ph4_food3",3,4,37,"3/14/22",0.152708738,448.7120076,7274.347796,7.72,"LT",20,0.762629573111589,-0.0421586124899947,50,2.66836309449728,14.416351662878
"exp2_18_DAY1_tube",2.9135,"18","1","tube","temp37_ph4_food3",3,4,37,"3/14/22",0.033367507,208.6247639,NA,NA,NA,NA,-0.8936959726639,-0.489185657852362,39,2.52417957185028,12.4806515841934
"exp2_18_DAY15_tube",2.5135,"18","15","tube","temp37_ph4_food3",3,4,37,"3/14/22",0.213231279,271.5579815,7765.84273,NA,NA,NA,1.60261613863934,-0.372008044059485,42,2.83912580924253,17.1008096312161
"exp2_18_DAY57_tube",3.076,"18","57","tube","temp37_ph4_food3",3,4,37,"3/14/22",0.210854369,197.1836698,12671.54729,7.72,"LT",20,1.56962723178779,-0.510488241081759,44,2.52524418544582,12.4939457308602
"exp2_19_DAY1_tube",4.116,"19","1","tube","temp37_ph4_food3",3,4,37,"3/14/22",0.034574945,221.4622619,NA,NA,NA,NA,-0.876938055994346,-0.465283060145188,34,2.47431295245791,11.8735466190762
"exp2_19_DAY15_tube",4.271,"19","15","tube","temp37_ph4_food3",3,4,37,"3/14/22",0.197065133,249.0755498,10023.31746,NA,NA,NA,1.3782477424684,-0.413868889561008,39,2.71349751882533,15.0819327200249
"exp2_19_DAY57_tube",4.506,"19","57","tube","temp37_ph4_food3",3,4,37,"3/14/22",0.185896117,264.0575499,11576.49482,7.73,"LT",20,1.22323403625001,-0.385973366520682,44,2.51101733803414,12.3174547036861
"exp2_2_DAY1_tube",1.566,"2","1","tube","temp22_ph4_food3",3,4,22,"3/14/22",0.014018388,337.0301126,NA,NA,NA,NA,-1.16224054706962,-0.250103136209478,39,2.65234240000533,14.1872319263678
