"","dna_con_ug_ml","sample_id","day","container","treatment_combo","food","ph","temperature","data_inoculated","chitinase","protease","respiration_co2_ppm_hr","ph_final","color","final_volume_ml","richness","shannon.16s","ef.16s"
"exp2_1_DAY1_tube",3.9185,"1","1","tube","temp22_ph4_food3",3,4,22,"3/14/22",0.011233069,280.3949853,NA,NA,NA,NA,36,2.6675983948833,14
"exp2_1_DAY15_tube",12.5485,"1","15","tube","temp22_ph4_food3",3,4,22,"3/14/22",0.169163417,948.4956032,11853.46943,NA,NA,NA,42,2.86851579421577,18
"exp2_1_DAY57_tube",0.492,"1","57","tube","temp22_ph4_food3",3,4,22,"3/14/22",0.062659038,528.5725208,1848.303353,7.93,"LT",20,74,3.16669122410837,24
"exp2_10_DAY1_tube",1.591,"10","1","tube","temp22_ph5.6_food3",3,5.6,22,"3/14/22",0.013283315,238.8512968,NA,NA,NA,NA,42,2.5450543564822,13
"exp2_10_DAY15_tube",9.3185,"10","15","tube","temp22_ph5.6_food3",3,5.6,22,"3/14/22",0.093721445,808.8418016,8725.841183,NA,NA,NA,43,2.96574118043546,19
"exp2_10_DAY57_tube",3.941,"10","57","tube","temp22_ph5.6_food3",3,5.6,22,"3/14/22",0.06728479,557.4897695,12036.64953,7.89,"LT",20,68,2.4319774935848,11
"exp2_11_DAY1_tube",2.4185,"11","1","tube","temp22_ph5.6_food3",3,5.6,22,"3/14/22",0.009829978,254.980972,NA,NA,NA,NA,41,2.64311605969826,14
"exp2_11_DAY15_tube",8.681,"11","15","tube","temp22_ph5.6_food3",3,5.6,22,"3/14/22",0.12774571,743.954946,9856.776731,NA,NA,NA,47,3.01035383482717,20
"exp2_11_DAY57_tube",0.6085,"11","57","tube","temp22_ph5.6_food3",3,5.6,22,"3/14/22",0.057026815,503.1909766,10650.40399,7.95,"LT",20,80,2.77347419616171,16
"exp2_12_DAY1_tube",1.0085,"12","1","tube","temp22_ph5.6_food3",3,5.6,22,"3/14/22",0.009719263,239.2536846,NA,NA,NA,NA,38,2.57406215228043,13
"exp2_12_DAY15_tube",8.5585,"12","15","tube","temp22_ph5.6_food3",3,5.6,22,"3/14/22",0.189219969,826.1521565,6854.528522,NA,NA,NA,42,2.93358491327558,19
"exp2_12_DAY57_tube",3.122,"12","57","tube","temp22_ph5.6_food3",3,5.6,22,"3/14/22",0.057741794,531.9745892,11470.02476,8,"LT",20,79,2.69047417937794,15
"exp2_13_DAY1_tube",5.7035,"13","1","tube","temp22_ph5.6_food6",6,5.6,22,"3/14/22",0.010483542,232.4396656,NA,NA,NA,NA,44,2.66484041056803,14
"exp2_13_DAY15_tube",11.281,"13","15","tube","temp22_ph5.6_food6",6,5.6,22,"3/14/22",0.020324456,812.6678723,9334.529529,NA,NA,NA,40,2.93230039309006,19
"exp2_13_DAY57_tube",1.247,"13","57","tube","temp22_ph5.6_food6",6,5.6,22,"3/14/22",0.044562876,623.7094313,16987.6837,8.07,"LT",20,45,2.62504562574957,14
"exp2_14_DAY1_tube",2.966,"14","1","tube","temp22_ph5.6_food6",6,5.6,22,"3/14/22",0.018069857,235.432899,NA,NA,NA,NA,39,2.54905838442892,13
"exp2_14_DAY15_tube",5.2335,"14","15","tube","temp22_ph5.6_food6",6,5.6,22,"3/14/22",0.047610806,1037.359044,24766.33229,NA,NA,NA,42,2.98655913150597,20
"exp2_14_DAY57_tube",1.9395,"14","57","tube","temp22_ph5.6_food6",6,5.6,22,"3/14/22",0.043738095,534.7596712,10399.85429,8.08,"LT",20,43,2.47741416517373,12
"exp2_15_DAY1_tube",4.5085,"15","1","tube","temp22_ph5.6_food6",6,5.6,22,"3/14/22",0.01499173,236.9541904,NA,NA,NA,NA,42,2.60955957915639,14
"exp2_15_DAY15_tube",5.131,"15","15","tube","temp22_ph5.6_food6",6,5.6,22,"3/14/22",0.04870668,859.5421928,13595.51317,NA,NA,NA,38,2.91769182237856,18
"exp2_15_DAY57_tube",3.7835,"15","57","tube","temp22_ph5.6_food6",6,5.6,22,"3/14/22",0.047338534,533.3229173,12057.34375,8.11,"LT",20,49,2.52190163006254,12
"exp2_16_DAY1_tube",2.2185,"16","1","tube","temp22_ph5.6_food6",6,5.6,22,"3/14/22",0.012277489,221.9614505,NA,NA,NA,NA,39,2.53964132408188,13
