"ASV","Reason","Taxon","Confidence"
"0649da7b67156aed2b87a455e44c6a3c","Decontam_pkg","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Collimonas",0.981828254724413
"06f825b512d903b9230e1a55d87359ee","Decontam_pkg","d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus",0.999840520900978
"08bdc6c81f6b9daab3d132b54e1d45bc","Decontam_pkg","d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Nocardiaceae; g__Rhodococcus",0.999999773683684
"0e4b96294f2a2985a5d7fd8c87f7ce6d","Decontam_pkg","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter",0.994980681850541
"107273e73071282e4d0f4a0b46548da5","Decontam_pkg","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas",0.970847009241813
"1ec92d671ccfd5d924650b622d772b96","Decontam_pkg","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Pseudochrobactrum",0.971883970177171
"2b05a6e9e6c580f7fc168a5bbb29de2d","Decontam_pkg","d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Arcicella; s__uncultured_bacterium",0.882903366434535
"3481fa43fe5fba6aecdc7f9aae6ed9c0","Decontam_pkg","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae",0.997476718177388
"37f60e1f5a72f3aa23ee073f1d36cab2","Decontam_pkg","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae",0.977688536228637
"3ba9c0ce507ff73b0df440fad87c9d98","Decontam_pkg","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia",0.941349162209003
"487de539f50da640cd8914cea7821561","Decontam_pkg","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae; g__Devosia",0.938303114570642
"55fcef7016326a10d2bc44d69cf8ea38","Decontam_pkg","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae",0.999984974474408
"5648dccee530d68ceb3e4d7d22cf8756","Decontam_pkg","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas",0.99993203427852
"592e7630b2e58f0bcb2a3f9cccb07ceb","Decontam_pkg","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Chitinibacteraceae; g__Iodobacter",0.999987274525517
"5c061dc8bafe80b5767222e204384886","Decontam_pkg","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Pseudochrobactrum",0.968471519909284
"62727dc7f1b9c5878de3da94b2977f05","Decontam_pkg","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Ochrobactrum",0.761028115860388
"6376ea6dab7d0fde3cd66f53b57e1484","Decontam_pkg","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas",0.999896098538262
"65d43491988bfe557da4d86a5ba25dae","Decontam_pkg","d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus",0.999128990621019
"6e35a55b3c00d52898de19884bb23bdb","Decontam_pkg","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia",0.89849561434516
"7bcdcc128a296b3f5b5b3848a75b9f30","Decontam_pkg","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae",0.999984641344845
"7ea4b157e51f38c83a0693ce6ea70f53","Decontam_pkg","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Ochrobactrum",0.932840653674444
"8b5884acc8c736df09c4260b50dc9297","Decontam_pkg","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas",0.999774286349328
"92d43275bdbee71a13c1373e48b63fc4","Decontam_pkg","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae",0.999992164799375
"945184b6386c192c0066e0a98a154780","Decontam_pkg","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae",0.922859282949843
"99e433a3ce4d5290445f668df2c9147e","Decontam_pkg","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas",0.999991064563124
"9eab7a1249300ee6e9757c224201f94d","Decontam_pkg","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas; s__uncultured_organism",0.745415744166661
