,rowname,ID,BetaNTI,dna_con_ug_ml,sample_id,day,container,treatment_combo,food,ph,temperature,data_inoculated,chitinase,protease,respiration_co2_ppm_hr,ph_final,color,final_volume_ml
1,exp2_MIX_GROUP1,exp2_1_DAY1_tube,0.210130343,3.9185,1,1,tube,temp22_ph4_food3,3,4,22,3/14/22,0.011233069,280.3949853,NA,NA,NA,NA
5,exp2_MIX_GROUP1,exp2_1_DAY15_tube,-0.381166002,12.5485,1,15,tube,temp22_ph4_food3,3,4,22,3/14/22,0.169163417,948.4956032,11853.46943,NA,NA,NA
9,exp2_MIX_GROUP1,exp2_1_DAY57_tube,-0.395325046,0.492,1,57,tube,temp22_ph4_food3,3,4,22,3/14/22,0.062659038,528.5725208,1848.303353,7.93,LT,20
133,exp2_MIX_GROUP1,exp2_2_DAY1_tube,-0.354552548,1.566,2,1,tube,temp22_ph4_food3,3,4,22,3/14/22,0.014018388,337.0301126,NA,NA,NA,NA
137,exp2_MIX_GROUP1,exp2_2_DAY15_tube,-0.562209132,8.456,2,15,tube,temp22_ph4_food3,3,4,22,3/14/22,0.147510865,1010.913149,12072.83857,NA,NA,NA
141,exp2_MIX_GROUP1,exp2_2_DAY57_tube,-0.383980253,1.207,2,57,tube,temp22_ph4_food3,3,4,22,3/14/22,0.067533981,414.6261681,2002.69184,7.85,LT,20
265,exp2_MIX_GROUP1,exp2_3_DAY1_tube,0.5397642,1.6885,3,1,tube,temp22_ph4_food3,3,4,22,3/14/22,0.012690399,303.6613489,NA,NA,NA,NA
269,exp2_MIX_GROUP1,exp2_3_DAY15_tube,-0.280841747,9.5235,3,15,tube,temp22_ph4_food3,3,4,22,3/14/22,0.133628817,953.3290944,13629.38148,NA,NA,NA
273,exp2_MIX_GROUP1,exp2_3_DAY57_tube,0.616405951,1.881,3,57,tube,temp22_ph4_food3,3,4,22,3/14/22,0.052805247,395.7921261,2407.860302,7.96,LT,20
313,exp2_MIX_GROUP1,exp2_4_DAY1_tube,-0.272572114,2.111,4,1,tube,temp22_ph4_food3,3,4,22,3/14/22,0.013761194,346.9332169,NA,NA,NA,NA
317,exp2_MIX_GROUP1,exp2_4_DAY15_tube,-0.573902074,2.8635,4,15,tube,temp22_ph4_food3,3,4,22,3/14/22,0.111931227,890.0551064,13682.94766,NA,NA,NA
321,exp2_MIX_GROUP1,exp2_4_DAY57_tube,0.33157977,5.666,4,57,tube,temp22_ph4_food3,3,4,22,3/14/22,0.064091655,557.870732,3414.047253,7.95,LT,20
325,exp2_MIX_GROUP1,exp2_5_DAY1_tube,-1.339678536,2.331,5,1,tube,temp22_ph4_food6,6,4,22,3/14/22,0.007094876,312.2595401,NA,NA,NA,NA
