"","ASV","variable","value","new_name","Genus","newname2"
"1","d4ecfe33623f297a74de51d7f28b39aa","lfc_protease",-0.00872299639797871,"ASV218","Pseudorhodoferax","ASV218  -  Pseudorhodoferax"
"2","4473ac847f597164696bc96da74ca753","lfc_protease",-0.00443368880051225,"ASV 78","Bosea","ASV 78  -  Bosea"
"3","1583d8af9fd9cb078f88c0e1a8b8a888","lfc_protease",-0.00340742499600136,"ASV106","Ancylobacter","ASV106  -  Ancylobacter"
"4","4605b879a4aa457b76cf5eb5fbab39c9","lfc_protease",-0.00279094681708846,"ASV 15","Sedimentibacter","ASV 15  -  Sedimentibacter"
"5","6c0c84518abe719cc7c4af67f51b577e","lfc_protease",-0.00235117131913281,"ASV83","Stenotrophomonas","ASV83  -  Stenotrophomonas"
"6","6b6d7fd145bfcc5558795c8dd6064f04","lfc_protease",-0.00232070662179452,"ASV 102","Clostridium","ASV 102  -  Clostridium"
"7","1253c7a4636562f33ebc360882fa65da","lfc_protease",-0.00203742407995363,"ASV22","Chitinophaga","ASV22  -  Chitinophaga"
"8","e67b78aab8cb557736519f911b315dd3","lfc_protease",-0.00201216084567924,"ASV 30 ","Pelosinus","ASV 30   -  Pelosinus"
"9","691771d80023bb9a4f419ae9bc8892cd","lfc_protease",-0.00167368335135322,"ASV45","Clostridium","ASV45  -  Clostridium"
"10","d007cee006889a1090c2d5bfb35a1953","lfc_protease",-0.00159917995262277,"ASV 8 ","Aquitalea","ASV 8   -  Aquitalea"
"11","f36c50279a8fa1c121cb9dda1ab1cb42","lfc_protease",-0.00125592726137715,"ASV 7","Comamonadaceae","ASV 7  -  Comamonadaceae"
"12","3cd9ce63f826137d18ca1a11155a21ad","lfc_protease",-0.00118713214125783,"ASV 66","Leifsonia","ASV 66  -  Leifsonia"
"13","fc6622c636a5210293fb2873fc4761d9","lfc_protease",-0.00102552660553339,"ASV 50","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","ASV 50  -  Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"14","38c27ceaed634984c1225a82648cf571","lfc_protease",0.000641925916152767,"ASV 2","Pseudomonas","ASV 2  -  Pseudomonas"
"15","0abe6c0ce026fcfddf45273c65c7f15b","lfc_protease",0.00070593777717952,"ASV 51","Chryseobacterium","ASV 51  -  Chryseobacterium"
"16","0d9b1e16151fb1c5d9a227fbc6f286ef","lfc_protease",0.00074863100652775,"ASV 41","Chitinibacter","ASV 41  -  Chitinibacter"
"17","1cb29f361033ce208d7efc9e2aa80ee0","lfc_protease",0.000784056504151599,"ASV 43","Chryseobacterium","ASV 43  -  Chryseobacterium"
