Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Transcript name	Protein accession	Protein name	Protein length	Locus tag
NZ_JAELTO010000001.1	1	998		plus	molybdopterin molybdotransferase MoeA			protein-coding			WP_198968603.1	molybdopterin molybdotransferase MoeA	331	JHD63_RS00005
NZ_JAELTO010000001.1	995	1249		plus	molybdopterin converting factor subunit 1	moaD		protein-coding			WP_198968604.1	molybdopterin converting factor subunit 1	84	JHD63_RS00010
NZ_JAELTO010000001.1	1504	2658		plus	hypothetical protein			protein-coding			WP_198968605.1	hypothetical protein	384	JHD63_RS00015
NZ_JAELTO010000001.1	3187	3633		plus	hypothetical protein			protein-coding			WP_198968606.1	hypothetical protein	148	JHD63_RS00020
NZ_JAELTO010000001.1	3819	4652		minus	dihydrodipicolinate synthase family protein			protein-coding			WP_233167452.1	dihydrodipicolinate synthase family protein	277	JHD63_RS00025
NZ_JAELTO010000001.1	4959	5486		plus	molybdenum cofactor biosynthesis protein MoaE			protein-coding			WP_198968608.1	molybdenum cofactor biosynthesis protein MoaE	175	JHD63_RS00030
NZ_JAELTO010000001.1	5537	6511		minus	Bug family tripartite tricarboxylate transporter substrate binding protein			protein-coding			WP_198968609.1	Bug family tripartite tricarboxylate transporter substrate binding protein	324	JHD63_RS00035
NZ_JAELTO010000001.1	6670	9273		plus	ATP-dependent chaperone ClpB	clpB		protein-coding			WP_198968610.1	ATP-dependent chaperone ClpB	867	JHD63_RS00040
NZ_JAELTO010000001.1	9311	9631		plus	hypothetical protein			protein-coding			WP_198968611.1	hypothetical protein	106	JHD63_RS00045
NZ_JAELTO010000001.1	9644	11017		plus	amidase			protein-coding			WP_198968612.1	amidase	457	JHD63_RS00050
NZ_JAELTO010000001.1	11141	12325		plus	acetyl-CoA C-acyltransferase family protein			protein-coding			WP_198968613.1	acetyl-CoA C-acyltransferase family protein	394	JHD63_RS00055
NZ_JAELTO010000001.1	12328	13215		minus	helix-turn-helix transcriptional regulator			protein-coding			WP_198968614.1	helix-turn-helix transcriptional regulator	295	JHD63_RS00060
NZ_JAELTO010000001.1	13588	14829		plus	MFS transporter			protein-coding			WP_198968615.1	MFS transporter	413	JHD63_RS00065
NZ_JAELTO010000001.1	14903	16030		minus	helix-turn-helix domain-containing protein			protein-coding			WP_198968616.1	helix-turn-helix domain-containing protein	375	JHD63_RS00070
NZ_JAELTO010000001.1	16207	16680		plus	(2Fe-2S)-binding protein			protein-coding			WP_198968617.1	(2Fe-2S)-binding protein	157	JHD63_RS00075
NZ_JAELTO010000001.1	16691	19084		plus	xanthine dehydrogenase family protein molybdopterin-binding subunit			protein-coding			WP_198968618.1	xanthine dehydrogenase family protein molybdopterin-binding subunit	797	JHD63_RS00080
